topic,coherence,exclusivity
1,-192.19267766774,9.88209322371101
2,-135.686207511152,9.89312695825573
3,-165.18102470535,9.72245852396834
4,-186.37795377895,9.73761065703028
5,-163.968633341503,9.85857111180881
6,-101.879591199566,9.88084409873361
7,-186.34954192387,9.83322247878236
8,-187.071760382074,9.86753674747711
9,-117.195368435273,9.86607776464726
10,-181.367849619203,9.75981280444393
11,-119.150669174333,9.79660715403323
12,-189.463034635777,9.82114697736691
13,-134.429723775217,9.80448776965483
14,-102.856068432772,9.90180954012896
15,-73.6648836325017,9.91077890198084
16,-95.2695836490779,9.8909959002724
17,-162.475579241172,9.83026944086633
18,-203.882836190863,9.77649860419743
19,-207.614366548852,9.72868651957318
20,-190.272530097844,9.83050388916431
21,-123.356627791065,9.92496632768814
22,-199.07883888804,9.80828440389487
23,-147.636165976103,9.772001836424
24,-99.5904010124153,9.88388425736229
25,-133.049638711827,9.87348811980336
26,-188.43290446434,9.85423373353863
27,-103.093872035907,9.89190522306907
28,-139.619622697501,9.86428858874415
29,-127.91094316705,9.93176317614101
30,-161.385653584636,9.94689627615759
