term,estimate,se,t_val,p_val,topic,destination,sig
destinationkrasno,0.353586742269248,0.0144054282483275,24.5453822110634,2.81460487073457e-130,1,krasno,***
destinationludbreg,-0.0264627458168151,0.00616521226029793,-4.29226840853916,1.78054237326112e-05,1,ludbreg,***
destinationmarija_bistrica,-0.103404697257064,14.5278441512434,-0.00711769042815719,0.994321054757307,1,marija_bistrica,""
destinationnin,-0.0156010133832972,16.9275955882067,-0.000921631976733083,0.999264657400082,1,nin,""
destinationsinj,-0.10131957098744,14.5278238409079,-0.00697417397794574,0.994435559415747,1,sinj,""
destinationsolin,-0.0423258265577195,16.9275892181024,-0.00250040487232855,0.998005003504247,1,solin,""
destinationtrsat,-0.103767158607242,14.5277982367438,-0.00714266242662936,0.994301130850004,1,trsat,""
destinationvepric,-0.0338293325948924,0.00742581109296882,-4.55564142035931,5.26701521825975e-06,1,vepric,***
destinationvocin,0.0793213357496755,0.0055557313749547,14.2773885914026,6.3904118092727e-46,1,vocin,***
destinationkrasno,-0.00440569063978261,0.00675483574110435,-0.65222764973739,0.514265106634265,2,krasno,""
destinationludbreg,0.00148510796896029,0.00589861236758546,0.251772429922906,0.801220689543013,2,ludbreg,""
destinationmarija_bistrica,0.159598725278004,14.5455716645473,0.0109723240143942,0.991245685143527,2,marija_bistrica,""
destinationnin,-0.0233529397778332,16.9403624613455,-0.00137853837727026,0.998900105636038,2,nin,""
destinationsinj,0.081884025418109,14.5455643131156,0.00562948426444171,0.995508425901464,2,sinj,""
destinationsolin,-0.0163398694667684,16.9403086657194,-0.00096455559276992,0.999230409940532,2,solin,""
destinationtrsat,0.0745317206522462,14.5455890214678,0.00512400842222649,0.995911724186387,2,trsat,""
destinationvepric,-0.0100189198617858,0.00716184461480678,-1.39893008025784,0.161856255666684,2,vepric,""
destinationvocin,0.0420204917955204,0.00431113949802375,9.74695711302842,2.24162691230896e-22,2,vocin,***
destinationkrasno,-0.21971925470721,0.0102055303139264,-21.5294304116057,3.67277711275081e-101,3,krasno,***
destinationludbreg,-0.23270117085912,0.00927060599385966,-25.1009665401861,5.06772469054674e-136,3,ludbreg,***
destinationmarija_bistrica,-0.250218619480871,17.4319902834452,-0.0143539903024441,0.988547771955435,3,marija_bistrica,""
destinationnin,0.0285487933065572,20.1003137448504,0.00142031580546205,0.998866772703041,3,nin,""
destinationsinj,-0.25008288700312,17.4319984589999,-0.0143461971724765,0.988553989221498,3,sinj,""
destinationsolin,0.0117102742191436,20.1003246472277,0.000582591297636512,0.999535167782016,3,solin,""
destinationtrsat,-0.248701317898893,17.4319490357129,-0.0142669828479522,0.988617185503415,3,trsat,""
destinationvepric,-0.243547601872416,0.0105320436209878,-23.1244391532033,4.02808700926393e-116,3,vepric,***
destinationvocin,-0.245410341616648,0.00689694348263261,-35.5824782723859,1.74534582446078e-265,3,vocin,***
destinationkrasno,0.00400011449106759,0.00788977289332329,0.506999953630185,0.612162890935678,4,krasno,""
destinationludbreg,-0.00940822048293383,0.00685493158638391,-1.37247474527996,0.169937832417347,4,ludbreg,""
destinationmarija_bistrica,-0.111703381989815,15.5603136266001,-0.00717873589635496,0.994272349640886,4,marija_bistrica,""
destinationnin,-0.31496633719498,18.0505457654694,-0.0174491309729542,0.986078564610363,4,nin,""
destinationsinj,-0.068499504678004,15.5603658675972,-0.00440217828172323,0.996487644410275,4,sinj,""
destinationsolin,-0.330399485098728,18.0505642853071,-0.0183041083855572,0.985396512617992,4,solin,""
destinationtrsat,-0.116489140807356,15.560312171329,-0.00748629844470574,0.99402696124239,4,trsat,""
destinationvepric,-0.0190770536763077,0.00859005612215969,-2.22082992299606,0.0263785331768689,4,vepric,*
destinationvocin,-0.0212829612167404,0.00429675918523381,-4.95325902598433,7.38379771956926e-07,4,vocin,***
destinationkrasno,0.0280810939362917,0.00975477017506239,2.87870379643384,0.0039992196421746,5,krasno,**
destinationludbreg,-0.000805035186779492,0.00637173554787446,-0.126344726759422,0.899460879796908,5,ludbreg,""
destinationmarija_bistrica,-0.0112378423127808,13.1990691315971,-0.000851411732201528,0.9993206840197,5,marija_bistrica,""
destinationnin,0.0542242459329148,15.3018397013975,0.00354364226727342,0.997172639297833,5,nin,""
destinationsinj,-0.00458832286794169,13.1990777010994,-0.000347624506184968,0.999722640765872,5,sinj,""
destinationsolin,0.0771285869884809,15.3019454351553,0.00504044321131106,0.995978397518101,5,solin,""
destinationtrsat,-0.0119449068385191,13.1990697622941,-0.000904980961055468,0.99927794274401,5,trsat,""
destinationvepric,0.0410048209177338,0.00991279199084274,4.13655617464921,3.54630038670383e-05,5,vepric,***
destinationvocin,-0.0165437358853992,0.00373770301491692,-4.42617720545861,9.6648076585816e-06,5,vocin,***
destinationkrasno,-0.00172191368825474,0.0102166342525927,-0.168540210570596,0.866160763973972,6,krasno,""
destinationludbreg,0.0277626662560577,0.00980375893442299,2.83183893461286,0.00463476411050718,6,ludbreg,**
destinationmarija_bistrica,0.411711488567009,22.1397582006513,0.0185960246194061,0.985163640991917,6,marija_bistrica,""
destinationnin,-0.183428501262416,25.5313249746684,-0.00718444896394566,0.99426779147197,6,nin,""
destinationsinj,0.259076524700953,22.1397746834504,0.0117018591383685,0.990663648218136,6,sinj,""
destinationsolin,-0.193954328645293,25.5312091087456,-0.00759675453752227,0.993938834122154,6,solin,""
destinationtrsat,0.265368667763726,22.1397229200403,0.0119860880247747,0.990436886362754,6,trsat,""
destinationvepric,0.00517361494036508,0.0115672364356995,0.447264562207613,0.654691017431253,6,vepric,""
destinationvocin,0.0361895514972735,0.00615156053297487,5.88298713851271,4.12190040892466e-09,6,vocin,***
destinationkrasno,5.11969325860542e-05,0.00702373356590414,0.00728913363607405,0.994184268877354,7,krasno,""
destinationludbreg,0.00548066853687146,0.00621888171352659,0.88129486768506,0.37817347600112,7,ludbreg,""
destinationmarija_bistrica,0.143155556277297,15.2931626711733,0.00936075547977638,0.992531441085219,7,marija_bistrica,""
destinationnin,-0.320056319469603,17.8372748371102,-0.0179431175665764,0.985684489136578,7,nin,""
destinationsinj,0.0284307179218794,15.2931706894671,0.001859046662015,0.998516722893317,7,sinj,""
destinationsolin,-0.324086248083625,17.8372078007224,-0.0181691132213249,0.985504203328368,7,solin,""
destinationtrsat,0.0301092974634692,15.2932265403703,0.00196879954560198,0.998429154496863,7,trsat,""
destinationvepric,-0.0038230378221198,0.00747679132428079,-0.51132065297911,0.609134664399122,7,vepric,""
destinationvocin,-0.00347316998216704,0.00386197148097908,-0.899325642168266,0.368494806227323,7,vocin,""
destinationkrasno,-0.0933625527278305,0.00784266051604395,-11.9044490752642,1.61418488382377e-32,8,krasno,***
destinationludbreg,-0.0890163844278504,0.00697716452404259,-12.7582464368024,4.52526181914253e-37,8,ludbreg,***
destinationmarija_bistrica,-0.0789034587447189,16.4619895306416,-0.00479306942808169,0.996175767305526,8,marija_bistrica,""
destinationnin,-0.335537200858475,19.028691298117,-0.0176332253018198,0.985931703826074,8,nin,""
destinationsinj,-0.0801204098016474,16.4620036269588,-0.00486699016822223,0.996116788836676,8,sinj,""
destinationsolin,-0.335251301781437,19.0287279588648,-0.0176181667269701,0.985943716748159,8,solin,""
destinationtrsat,-0.080187514473061,16.4620024942812,-0.0048710668401926,0.99611353622009,8,trsat,""
destinationvepric,-0.0947502217491284,0.00844019135044646,-11.2260750751956,4.05156279403675e-29,8,vepric,***
destinationvocin,0.17466204834626,0.00823352457286479,21.2135212326801,2.57065845416485e-98,8,vocin,***
destinationkrasno,0.0131946495676083,0.00719009437892759,1.83511493343934,0.0665100093231659,9,krasno,""
destinationludbreg,-0.00464469106646817,0.00559216988089268,-0.8305704521492,0.406230592938032,9,ludbreg,""
destinationmarija_bistrica,-0.124601691509067,14.8878408406675,-0.00836935945531515,0.993322415328777,9,marija_bistrica,""
destinationnin,0.0174392914340995,17.241554366096,0.00101146863350049,0.999192979440882,9,nin,""
