topic,mean_prop,sd_prop,median_prop,max_prop,flag,coherence,exclusivity,top_frex,suggested_frame,pct_rel,pct_tour,n,modal_frame,purity
1,0.0263443417012939,0.113029291916557,0.00263678294754519,0.972629423425854,OK,-192.19267766774,9.88209322371101,"velebit, sjeverni, krasnu, geo, slatina",mješoviti_religijsko-turistički,40.5555555555556,85.5555555555556,360,tourism_only,0.594444444444445
2,0.029551631919722,0.0949152123069412,0.0037835029934214,0.896401821087142,OK,-135.686207511152,9.89312695825573,"skupština, bistrici, mariji, općine, sjednica",mješoviti_religijsko-turistički,66.7519181585678,75.7033248081842,391,religious_tourism_mixed,0.424552429667519
3,0.06194504618819,0.150073212545255,0.00876155584254843,0.928939104511952,OK,-165.18102470535,9.72245852396834,"utočište, dom, pronašli, quote, onda",mješoviti_religijsko-turistički,56.8007662835249,65.9961685823755,1044,tourism_only,0.431992337164751
4,0.0316696979623478,0.0988284481000744,0.00677850059096575,0.916784574135017,OK,-186.37795377895,9.73761065703028,"epidemioloških, zbog, pršuta, ulicama, cetinsku",mješoviti_religijsko-turistički,72.0873786407767,49.5145631067961,412,tourism_only,0.504854368932039
5,0.0251904092081556,0.078990230862164,0.00605662239142315,0.881324158349059,OK,-163.968633341503,9.85857111180881,"don, vikar, vlč, župnik, mlade",neodređeno,98.936170212766,33.3333333333333,282,religious_only,0.666666666666667
6,0.052196745754203,0.156349625202831,0.00493246313822433,0.95424642006983,OK,-101.879591199566,9.88084409873361,"mariju, bistricu, zavjetno, vatrogasaca, policije",neodređeno,99.5327102803738,39.8364485981308,856,religious_tourism_mixed,0.601635514018692
7,0.0309166257020884,0.109838901292257,0.00198045596747883,0.928118339238868,OK,-186.34954192387,9.83322247878236,"bistrica, marija, općinska, bistričkom, bistrički",mješoviti_religijsko-turistički,74.7826086956522,57.8260869565217,460,religious_only,0.421739130434783
8,0.0386839103340409,0.137627010758145,0.00100645787672822,0.943077860453228,OK,-187.071760382074,9.86753674747711,"voćinske, požeške, voćinskoj, škvorčević, aljmaš",mješoviti_religijsko-turistički,95.0075642965204,57.7912254160363,661,religious_tourism_mixed,0.527987897125567
9,0.0298931532652776,0.116838325389545,0.00114190335346348,0.94126240279753,OK,-117.195368435273,9.86607776464726,"trsat, uzinić, trsatske, grobnih, kozala",mješoviti_religijsko-turistički,89.4957983193277,50.8403361344538,476,religious_only,0.491596638655462
10,0.0288453248869795,0.11301246693935,0.00322932607921086,0.948331257604734,OK,-181.367849619203,9.75981280444393,"ruralnog, saloni, solin, šampioni, pošta",mješoviti_religijsko-turistički,54.4794188861986,74.3341404358354,413,tourism_only,0.455205811138015
11,0.0343943997092791,0.127100398677566,0.00238790492666089,0.950381211746323,OK,-119.150669174333,9.79660715403323,"alku, alkarskog, milanović, sinjsku, boban",mješoviti_religijsko-turistički,74.4144144144144,71.5315315315315,555,religious_tourism_mixed,0.45945945945946
12,0.0286826865059911,0.0886120823825756,0.00727087893553494,0.915762880494845,OK,-189.463034635777,9.82114697736691,"crkvu, nikole, brnazama, nine, krapić",mješoviti_religijsko-turistički,74.7800586510264,49.8533724340176,341,religious_only,0.501466275659824
13,0.0342198959576496,0.100735291964023,0.0039246203811709,0.908328402952922,OK,-134.429723775217,9.80448776965483,"klape, čudotvornoj, sinjskoj, početkom, božićni",mješoviti_religijsko-turistički,83.8137472283814,40.7982261640798,451,religious_only,0.592017738359202
14,0.0251471406945215,0.0997644367337302,0.00296905323907665,0.933584352513637,OK,-102.856068432772,9.90180954012896,"odmor, wellness, spa, resort, noćenje",turistički,28.8590604026846,92.6174496644295,298,tourism_only,0.711409395973154
15,0.0431815199736829,0.150716289860615,0.00162895166560952,0.963553483910605,OK,-73.6648836325017,9.91077890198084,"bistričke, nacionalno, rođacima, dubokoj, tužnu",religijski,100,17.8403755868545,639,religious_only,0.821596244131455
16,0.0354238003072953,0.110818176155287,0.00510350991917816,0.949774659120873,OK,-95.2695836490779,9.8909959002724,"splitsko-makarski, predvodit, kutleša, križić, misno",religijski,99.4897959183674,29.3367346938776,392,religious_only,0.706632653061225
17,0.0466900992638892,0.16054396506179,0.00364020748582973,0.963270549013908,OK,-162.475579241172,9.83026944086633,"gradini, gradine, food, truck, lampica",mješoviti_religijsko-turistički,55.7017543859649,89.4736842105263,684,tourism_only,0.451754385964912
18,0.0338033495949535,0.122164087615657,0.00383348297055818,0.945346583959252,OK,-203.882836190863,9.77649860419743,"lige, utakmice, kolo, kolu, mladosti",neodređeno,38.3064516129032,83.2661290322581,496,tourism_only,0.616935483870968
