topic,rank,prob,frex,lift,score
1,1,centar,velebit,00kn,velebita
1,2,krasno,sjeverni,izrade,velebit
1,3,velebita,krasnu,krasnu,sjeverni
1,4,voćinu,geo,multimedijalni,centar
1,5,velebit,slatina,papuku,geo
1,6,sjeverni,centar,senja,voćinu
1,7,kuća,krasno,šumarstva,krasno
1,8,voćin,papuk,ulaza,parka
1,9,parka,velebita,arboretum,krasnu
1,10,info,akcija,dravom,papuk
1,11,krasnu,papuka,geo,voćin
1,12,akcija,geo-info,geo-info,papuka
1,13,geo,izlet,interaktivni,slatina
1,14,park,senj,papuk,akcija
1,15,projekta,šumarstva,sjeverni,kuća
2,1,mariji,skupština,skupština,bistrici
2,2,bistrici,bistrici,dvd,mariji
2,3,općine,mariji,filić,općine
2,4,održana,općine,filića,održana
2,5,udruge,sjednica,izvješće,skupština
2,6,povodom,općinskog,martinje,sjednica
2,7,zajednice,redovna,mjesnih,google
2,8,organizaciji,dvd-a,općinskog,načelnik
2,9,turističke,održana,prihvaćena,općinskog
2,10,vijeća,dvd,redovna,ljeto
2,11,ljeto,umirovljenika,sjednica,redovna
2,12,ove,načelnika,skupštinu,vijeća
2,13,google,vinogradara,večernjeg,umirovljenika
2,14,udruga,priznanja,vzo,načelnika
2,15,skupština,ogranak,dvd-a,udruge
3,1,utočište,utočište,bijegu,utočište
3,2,kad,dom,bježe,utočišta
3,3,ima,pronašli,brige,pronašli
3,4,utočišta,quote,budeš,sigurno
3,5,ljudi,onda,gazi,kad
3,6,dom,traže,glavom,budeš
3,7,ovo,postoji,grgin,dom
3,8,kaže,onih,postoji,traže
3,9,bez,kad,potražiti,životinje
3,10,mjesto,sigurno,quote,pružaju
3,11,sigurno,tamo,spas,quote
3,12,mjesta,potresa,traže,ljudi
3,13,život,životinje,trenutku,ima
3,14,kraju,bijegu,životinja,kaže
3,15,evo,toliko,dolara,onda
4,1,zbog,epidemioloških,cetinsku,zbog
4,2,sinju,zbog,kašinska,sinju
4,3,ove,pršuta,krajinu,epidemioloških
4,4,sinj,ulicama,pršuta,procesije
4,5,bez,cetinsku,suhomesnatih,korone
4,6,prema,krajinu,bapa,mjera
4,7,grad,sajam,dubrava,pršuta
4,8,broj,mjera,električnom,sinj
4,9,sajam,cesta,elektroenergetskim,sajam
4,10,procesije,procesije,energijom,bez
4,11,mjera,mjere,glavna,cetinsku
4,12,gospu,koronavirusa,grijehe,krajinu
4,13,ulica,promet,hit-mjuziklu,cesta
4,14,epidemioloških,ulica,korone,ulica
4,15,radova,procesiju,napajanja,mjere
5,1,župe,don,arheologa,don
5,2,don,vikar,čuvar,župe
5,3,župnik,vlč,generalni,župnik
5,4,vlč,župnik,katoličkom,vlč
5,5,josipa,mlade,klarica,stipe
5,6,ožujka,vučkovića,ranko,svećenika
5,7,svećenika,mladu,vikar,josipa
5,8,mlade,vidović,desetljećima,vranjic
5,9,ante,župe,knez,vidović
5,10,ivan,prof,ljubas,župnika
5,11,stipe,josipa,mihovila,vikar
5,12,današnji,sveučilišta,mladu,dekanata
5,13,svibnja,ranko,otkriven,ranko
5,14,župnika,klarica,povjesničara,ante
5,15,povijest,župnika,robert,prof
6,1,hodočašće,mariju,dolazeć,hodočašće
6,2,mariju,bistricu,slijepih,bistricu
6,3,bistricu,zavjetno,vozočašće,mariju
6,4,hrvatske,vatrogasaca,biciklističkog,zavjetno
6,5,vjernika,policije,bistricu,vojske
6,6,branitelja,vozočašće,jahača,policije
6,7,hodočašća,mladih,kapucinski,branitelja
6,8,policije,vojske,mariju,hodočašća
6,9,grada,hodočašće,međimurske,vjernika
6,10,vojske,zaprega,tucaković,hodočašću
6,11,mladih,varaždina,uzgajivača,božjoj
6,12,zagreba,hodočašća,varaždinci,vatrogasaca
6,13,održano,konjskih,vatrogasaca,vozočašće
6,14,ove,jahača,vatrogasni,bistričkoj
6,15,hodočašću,hodočašću,zavjetno,zagrebačke
7,1,marija,bistrica,bdm-e,bistrica
7,2,bistrica,marija,belec,marija
7,3,ove,općinska,ježek,bistričkom
7,4,bistričkom,bistričkom,kipova,google
7,5,google,bistrički,križeva,bistrički
7,6,bistrički,čitaonica,recitala,laz
7,7,kulture,belec,romarski,općinska
7,8,radio,ježek,tam,čitaonica
7,9,zlatar,laz,zlatarbistričke,zlatar
7,10,održan,bistričkog,belecgrad,kipova
7,11,laz,lovro,čitaonica,ozimec
7,12,subotu,križeva,kajkavskom,belec
7,13,župe,zagorju,kruha,ježek
7,14,puta,zlatar,općinska,mbb
7,15,bistričkog,recitala,općinskoj,bistričkog
8,1,voćin,voćinske,bazilikom,voćin
8,2,voćinu,požeške,jaslica,voćinske
8,3,voćinske,voćinskoj,požeškoj,voćinu
8,4,aljmaš,škvorčević,baranje,požeške
8,5,požeške,aljmaš,brojnom,voćinskoj
8,6,aljmašu,voćin,erdut,škvorčević
8,7,biskupije,voćinska,kuvezdanin,aljmaš
8,8,gospi,katedralnog,manjom,aljmašu
8,9,voćinskoj,posavskog,osječkih,biskupije
8,10,hodočašće,požeški,požeške,utočišta
8,11,utočišta,bazilikom,progonstvo,hodočašće
8,12,škvorčević,aljmašu,slavonsko-podravskog,požeški
8,13,biskup,arhiđakonata,škvorčević,gospi
8,14,kolovoza,antun,škvorčevićem,voćinska
8,15,obljetnice,aljmaša,voćinske,katedralnog
9,1,trsat,trsat,devčić,trsat
9,2,trsatske,uzinić,grobnih,trsatske
9,3,majke,trsatske,kozala,trsatu
9,4,trsatu,grobnih,novinare,božje
9,5,božje,kozala,rekolekcija,majke
9,6,svetištu,riječki,rožice,riječki
9,7,rijeci,ogranku,uzinić,trsatskom
9,8,rijeka,perivoju,izjavu,rijeka
9,9,riječki,riječke,mjesno,uzinić
9,10,trsatskom,rijeci,nazaretske,grobnih
9,11,misi,trsatskom,ogranku,rijeci
9,12,marijanskom,grobljima,siromaha,svetištu
9,13,uzinić,ruže,studijski,kozala
9,14,nadbiskupije,novinare,suzaštitnice,ogranku
9,15,sati,rekolekcija,trsat,riječke
10,1,hrvatska,ruralnog,dodijeljene,solin
10,2,solin,saloni,ruralnog,salona
10,3,grada,solin,antičke,solina
10,4,solina,šampioni,bojom,hotel
10,5,salona,pošta,dica,hrvatska
10,6,solinu,iločki,hemofilije,solinu
10,7,turizma,marke,jub,ruralnog
10,8,split,turnir,karikatura,turizma
10,9,hotel,solina,kastela,saloni
10,10,svetišta,suncokreta,kvalitetnu,šampioni
10,11,mjesto,suncokret,lokalitetu,iločki
10,12,povijesti,turizma,lučke,jub
10,13,grad,antičke,maraka,dunav
10,14,turnir,dunav,motivima,pošta
10,15,ruralnog,dalmacija,najboljima,split
11,1,alka,alku,alki,alka
11,2,predsjednik,alkarskog,boban,plenković
11,3,plenković,milanović,alku,alke
11,4,alke,sinjsku,blaženka,predsjednik
11,5,sinjska,boban,bobana,alku
11,6,sinjske,alki,čoja,andrej
11,7,andrej,zoran,čoju,sinjska
11,8,alku,viteškog,iskazao,milanović
11,9,hrvatske,blaženko,jandroković,alkarskog
11,10,društva,plenković,kopljanika,boban
11,11,premijer,kopljanika,nadmetanje,premijer
11,12,sinju,punata,odmjerilo,sinjske
11,13,vlade,predsjednik,punata,alki
11,14,župan,vlade,sastanku,vlade
11,15,alkarskog,alkari,sinjsku,sinjsku
12,1,crkva,crkvu,benedikta,nina
12,2,nina,nikole,detaljnim,crkva
12,3,svetog,brnazama,knjižice,nine
12,4,crkve,nine,kockica,svetog
12,5,crkvu,krapić,krapić,nikole
12,6,hrvatske,petra,mia,brnazama
12,7,nikole,benedikta,milosrdnica,crkvu
12,8,kod,svetog,pasionske,kockica
12,9,tisuća,crkva,programske,krapić
12,10,nine,posjetio,redovničke,tisuća
12,11,petra,hrvatsku,violić,benedikta
12,12,preko,ide,inženjera,violić
12,13,kraj,dubrovniku,miss,vlaha
12,14,hrvatsku,ninom,natjecatelja,hrvatsku
12,15,brnazama,mjeseca,nika,miss
13,1,sinju,klape,filijalne,sinju
13,2,sinj,čudotvornoj,gotovca,sinjskoj
13,3,gospi,sinjskoj,klapske,gospi
13,4,sinjskoj,početkom,mješovitog,sinj
13,5,sati,božićni,rame,koncert
13,6,sinjska,kviz,#croatiafulloflife,sinjska
13,7,koncert,ususret,#lovecroatia,čudotvornoj
13,8,sinjske,rame,čudotvornoj,klape
13,9,crkvi,dani,klape,sinjske
13,10,početkom,sikirica,nosili,alke
13,11,dani,pir,pir,dani
13,12,održan,koncert,#centraldalmatia,čudotvorne
13,13,gospa,sinju,kurjože,početkom
13,14,sinjski,zbora,licet,sinjski
13,15,srpnja,gospi,ravnopravnost,kviz
14,1,hotel,odmor,boutique,wellness
14,2,odmor,wellness,camping,hotel
14,3,osobe,spa,divinus,spa
14,4,wellness,resort,doručkom,odmor
14,5,mira,noćenje,hoteli,palace
14,6,hotelu,blanca,izložbeni,salona
14,7,spa,dvoje,luksuzni,blanca
14,8,salona,smještaj,mirnom,kaj
14,9,kaj,mira,opuštanje,resort
14,10,palace,more,paketi,osobe
14,11,smještaj,doručkom,polupansionom,doručkom
14,12,solinu,gratis,restoran,solinu
14,13,kuća,bijeg,spa,hotelu
14,14,more,kaj,suvremenosti,smještaj
14,15,hotela,prirodi,wellness,bijeg
15,1,majke,bistričke,karmel,bistričke
15,2,božje,nacionalno,tast,božje
15,3,bistričke,rođacima,biblijska,majke
15,4,svetište,dubokoj,biblijsku,nacionalno
15,5,nacionalno,tužnu,čukman,rođacima
15,6,hrvatsko,mhz,dubokoj,znancima
15,7,svim,hrvatsko,galoić,javljamo
15,8,prijateljima,sprovod,kožić,tužnu
15,9,svetištu,boli,mhz,hrvatsko
15,10,vijest,vijest,nacionalno,boli
15,11,javljamo,božje,nedjeljnu,dubokoj
15,12,rođacima,karmelu,punica,svetište
15,13,znancima,ujak,rođacima,prijateljima
15,14,dubokoj,nacionalnom,sinode,mhz
15,15,boli,tetak,strina,bozanić
16,1,slavlje,splitsko-makarski,apostolski,slavlje
16,2,crkvi,predvodit,križić,solinu
16,3,nadbiskup,kutleša,kutleša,nadbiskup
16,4,solinu,križić,palij,mons
16,5,predvodio,misno,stijene,euharistijsko
16,6,obitelji,slavlje,dekret,predvodio
16,7,mons,euharistijsko,disciplinu,misno
16,8,euharistijsko,predvodio,dujma,splitsko-makarski
16,9,misno,barišić,đakonsko,crkvi
16,10,misu,apostolski,franića,splitsko-makarske
16,11,svete,gospićko-senjske,giorgio,križić
16,12,nadbiskupije,župnoj,kongregacija,svete
16,13,središnje,nadbiskup,kutleše,obitelji
16,14,svečano,ređenje,makarski,nadbiskupije
16,15,subotu,mons,motornom,središnje
17,1,gradini,gradini,ansambla,gradini
17,2,trsatskoj,gradine,čarolija,trsatskoj
17,3,advent,food,dočeka,advent
17,4,program,truck,fest,truck
17,5,ove,lampica,food,food
17,6,koncert,rock,gradine,lampica
17,7,gradina,gradinu,intrade,gradine
17,8,festival,advent,jazz,gradina
17,9,gradine,trsatsku,kampus,rock
17,10,food,trsatskoj,lampice,festival
17,11,truck,adventa,mitova,koncert
17,12,posjetitelje,lampice,old,adventa
17,13,izdanje,gradina,pešut,solinskoj
17,14,lampica,solinskoj,pivo,festivala
17,15,adventa,festivala,pozornici,gradinu
18,1,alkar,lige,bodove,alkar
18,2,rijeka,utakmice,carnevalska,rijeka
18,3,rijeke,kolo,izvanredno,lige
18,4,trsatu,kolu,kolo,trsatu
18,5,lige,mladosti,košarkaši,alkara
18,6,protiv,sezone,ligi,kola
18,7,alkara,kola,najstarijim,premijer
18,8,premijer,košarkaši,pin,rijeke
18,9,kod,ekipa,pitomača,utakmice
18,10,trsata,pobjedu,poraz,košarkaši
18,11,kaštela,alkar,riječani,kaštela
18,12,hrvatskoj,ligi,utakmici,oduševite
18,13,grada,gostima,uvjerljivo,sezone
18,14,kola,dočekuje,auli,kolo
18,15,sezone,liga,dinama,kolu
19,1,pred,selu,krapini,voćinu
19,2,voćinu,ratu,masakr,voćina
19,3,voćina,zločina,ratu,zločina
19,4,obitelji,počast,ubile,selu
19,5,dio,žrtvama,braniteljima,pred
19,6,selu,srpske,čuvajmo,žrtvama
19,7,hrvatski,braniteljima,eksplozivom,ratu
19,8,ratu,komemoracija,imovinu,civila
19,9,kod,zbivanja,komemoracija,srpske
19,10,hrvatske,voćina,najmanje,slatine
19,11,zločina,domovinskom,najtrofejniji,supernova
19,12,počast,pred,paravojne,mještana
19,13,svoju,mještana,počast,počast
19,14,prosinca,srpskog,počasti,komemoracija
19,15,hrvatskih,onoga,poginulim,masakr
20,1,među,bog,budem,bog
20,2,bog,hranić,đakovačko-osječki,bogu
20,3,života,đuro,bog,hranić
20,4,ovo,hvala,braćo,majka
20,5,gospa,svima,franjevke,dalić
20,6,bogu,mir,grešnika,hvala
20,7,majka,naših,majkom,đakovačko-osječki
20,8,dobro,đakovačko-osječki,nepotrebna,izbornik
20,9,hvala,govori,skroman,srca
20,10,srca,isus,suvišan,đuro
20,11,svojim,srca,biblije,budem
20,12,posebno,boga,budemo,svima
20,13,uvijek,zna,đuro,zlatko
20,14,svima,znači,hranić,života
20,15,rekao,ime,onom,gospa
21,1,fra,fra,franjevačka,fra
21,2,linić,linić,kuletin,linić
21,3,veljače,zvjezdan,otkupitelja,zvjezdan
21,4,zvjezdan,gvardijan,pastoralni,svilnom
21,5,svetišta,franjevačke,sjemenište,gvardijan
21,6,gvardijan,pastoralni,svilnom,gospinog
21,7,milosti,franjevačkom,ulicom,svjetovnom
21,8,samostana,posvetio,linić,pastoralni
21,9,život,svilnom,zvjezdan,svećenički
21,10,rođen,marinko,adventsku,franjevačke
21,11,franjevačke,vukman,fra,franjevačkom
21,12,trsatu,samostana,frankopanskim,milosti
21,13,majke,otkupitelja,franjevačke,vukman
21,14,ante,svjetovnom,franjevačkom,mladima
21,15,mladima,milosti,krunoslav,posvetio
22,1,tijekom,odbijen,vojskom,između
22,2,između,između,vraćeno,izložba
22,3,oko,ponoći,duži,odbijen
22,4,izložba,vozila,gora,rad
22,5,rad,rad,govorila,alkarskih
22,6,sinja,duži,hini,zahtjev
22,7,otvorena,objekata,krađe,tijekom
22,8,grada,policijski,kriminalističko,ponoći
22,9,svijet,izložba,matičnih,ugostiteljima
22,10,alkarskih,omogući,objekata,sinja
22,11,došlo,pomoćnica,odbijen,omogući
22,12,slika,tamošnjim,omogući,policijski
22,13,knjiga,ugostiteljskih,osmanskom,zoni
22,14,splita,knjiga,pomoćnica,tamošnjim
22,15,vozila,ugostiteljima,produženim,ugostiteljskih
23,1,ninu,ninu,057info,nin
23,2,nin,zečeva,lucky,ninu
23,3,nina,sunca,ninsku,nina
23,4,grad,anselma,ptica,zečeva
23,5,zadarske,zadarske,race,zadarske
23,6,hrvatski,nin,zečevo,sunca
23,7,hrvatskoj,cro,ninu,svjetlosti
23,8,grada,kraljevskom,biciklističke,kraljevskom
23,9,hrvatska,svjetlosti,cro,ninske
23,10,zečeva,ptica,gospinih,anselma
23,11,zadar,race,grgura,zadar
23,12,hrvatske,grgura,kraljevskog,lucky
23,13,gradu,ninske,kraljevskom,ninskog
23,14,križa,ninskog,ninskoj,kraljevski
23,15,sunca,plaža,partneri,povr
24,1,sinja,kraja,ručnog,sinja
24,2,kraja,cetinskog,alkaricu,cetinskog
